player,nationality,position,squad,age,value,height,foot,league,games_17,minutes_17,shots_total_17,goal_kicks_17,goals_17,assists_17,cards_yellow_17,cards_red_17,passes_17,corner_kicks_17,throw_ins_17,tackles_17,blocks_17,interceptions_17,clearances_17,touches_17,dribbles_17,offsides_17,errors_17,fouls_17,fouled_17,games_18,minutes_18,shots_total_18,goal_kicks_18,goals_18,assists_18,cards_yellow_18,cards_red_18,passes_18,corner_kicks_18,throw_ins_18,tackles_18,blocks_18,interceptions_18,clearances_18,touches_18,dribbles_18,offsides_18,errors_18,fouls_18,fouled_18,games_19,minutes_19,shots_total_19,goal_kicks_19,goals_19,assists_19,cards_yellow_19,cards_red_19,passes_19,corner_kicks_19,throw_ins_19,tackles_19,blocks_19,interceptions_19,clearances_19,touches_19,dribbles_19,offsides_19,errors_19,fouls_19,fouled_19
Aaron Connolly,ie IRL,FW,Brighton,19,4000000,175,right,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1258,38,0,3,1,0,0,163,0,1,12,8,5,1,349,16,14,0,16,38
Aaron Cresswell,eng ENG,DF,West Ham,29,6000000,170,left,Premier League,36.0,3069.0,20.0,0.0,1.0,3.0,7.0,0.0,1703.0,63.0,176.0,36.0,50.0,40.0,78.0,1983.0,16.0,3.0,1.0,20.0,16.0,20.0,1589.0,11.0,0.0,0.0,1.0,1.0,0.0,1061.0,10.0,188.0,24.0,43.0,15.0,60.0,1246.0,13.0,1.0,1.0,2.0,12.0,31,2727,18,0,3,0,7,0,1681,19,325,48,64,15,92,1971,38,2,2,16,18
Aaron Lennon,eng ENG,MF,Burnley,32,2000000,165,right,Premier League,29.0,1911.0,14.0,0.0,0.0,2.0,2.0,0.0,508.0,0.0,12.0,35.0,43.0,19.0,17.0,728.0,41.0,1.0,0.0,21.0,20.0,16.0,1215.0,4.0,0.0,1.0,1.0,1.0,0.0,316.0,0.0,4.0,33.0,29.0,9.0,8.0,435.0,15.0,0.0,0.0,12.0,16.0,16,496,1,0,0,0,4,0,131,1,1,15,8,8,6,189,8,0,0,11,7
Aaron Leya Iseka,be BEL,FW,Toulouse,21,2000000,182,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,28.0,1444.0,30.0,0.0,4.0,0.0,2.0,1.0,267.0,0.0,1.0,3.0,7.0,1.0,10.0,423.0,24.0,7.0,0.0,23.0,14.0,22,777,25,0,2,0,2,0,183,0,1,5,6,2,7,300,13,6,0,20,11
Aaron Mooy,au AUS,"MF,FW",Brighton,28,9000000,179,right,Premier League,36.0,3067.0,29.0,0.0,4.0,3.0,4.0,0.0,2070.0,76.0,1.0,81.0,58.0,29.0,41.0,2434.0,28.0,2.0,0.0,26.0,17.0,29.0,2330.0,39.0,0.0,3.0,1.0,4.0,0.0,1427.0,75.0,7.0,66.0,50.0,20.0,24.0,1728.0,53.0,1.0,0.0,26.0,15.0,31,2085,33,0,2,2,3,1,1075,53,6,43,48,18,29,1359,51,0,0,13,11
Aaron Ramsdale,eng ENG,GK,Bournemouth,21,12000000,191,right,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3330,0,289,0,1,0,0,1124,0,0,0,1,0,0,1245,0,0,2,0,3
Aaron Ramsey,wal WAL,MF,Juventus,28,28000000,182,both,Serie A,24.0,1846.0,54.0,0.0,7.0,8.0,0.0,0.0,1246.0,0.0,12.0,33.0,20.0,19.0,6.0,1488.0,31.0,0.0,0.0,28.0,33.0,28.0,1331.0,33.0,0.0,4.0,6.0,0.0,0.0,790.0,2.0,15.0,31.0,9.0,10.0,2.0,971.0,21.0,5.0,0.0,21.0,20.0,24,1051,27,0,3,1,2,0,746,3,7,28,21,9,7,904,23,2,0,22,18
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,21,32000000,183,right,Premier League,7.0,627.0,0.0,0.0,0.0,0.0,1.0,0.0,276.0,0.0,56.0,25.0,36.0,15.0,25.0,394.0,11.0,0.0,0.0,2.0,3.0,35.0,3134.0,9.0,0.0,0.0,3.0,4.0,1.0,1537.0,0.0,336.0,134.0,103.0,76.0,153.0,2097.0,102.0,3.0,1.0,23.0,16.0,35,3070,9,0,0,4,8,0,2064,0,368,138,101,49,108,2560,91,1,0,22,19
AarĂłn Escandell,es ESP,GK,Granada,23,30000,185,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,270,0,25,0,0,0,0,128,0,0,0,0,0,0,133,0,0,0,0,0
AarĂłn MartĂ­n,es ESP,DF,Mainz 05,22,10000000,180,left,Bundesliga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1792,9,0,0,0,2,0,912,57,171,21,38,14,43,1081,40,2,0,18,12
Abdallah N'dour,sn SEN,DF,Strasbourg,25,600,186,left,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,373,0,0,0,0,2,1,209,0,28,6,8,4,9,246,3,0,0,5,5
Abdallahi Mahmoud,mr MTN,MF,AlavĂ©s,19,10000,187,,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,152,0,0,0,0,1,0,38,0,0,5,1,4,3,61,4,0,0,3,4
Abdelhamid Sabiri,de GER,MF,Paderborn 07,22,1000000,186,right,Bundesliga,5.0,220.0,6.0,0.0,0.0,1.0,1.0,0.0,88.0,0.0,0.0,4.0,3.0,1.0,1.0,121.0,3.0,1.0,0.0,4.0,4.0,2.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,24,1048,38,0,4,1,6,0,441,0,2,22,16,8,19,621,54,0,0,26,25
